j,s,run_1,run_2,run_3,run_4,run_5,average_absolute_error
53,10,-1.2600000000000002,-1.2600000000000002,-0.3600000000000001,-0.3600000000000001,2.3400000000000003,1.1160000000000003
53,200,0.16199999999999992,-0.33299999999999974,0.29700000000000015,-0.1080000000000001,0.5219999999999998,0.28439999999999993
53,400,-0.07199999999999962,0.018000000000000016,-0.22950000000000004,0.08549999999999991,0.15300000000000002,0.11159999999999992
53,600,-0.3270000000000004,-0.3270000000000004,-0.13200000000000012,-0.11699999999999999,-0.13200000000000012,0.2070000000000002
53,800,-0.07650000000000001,-0.13275000000000015,-0.05400000000000027,-0.21150000000000002,-0.18900000000000028,0.13275000000000015
53,1000,-0.17100000000000026,-0.14400000000000035,-0.05400000000000049,-0.04500000000000015,0.11699999999999999,0.10620000000000025
54,10,1.4399999999999995,0.54,1.4399999999999995,-0.3600000000000001,-1.2600000000000002,1.0079999999999998
54,200,-0.1080000000000001,-0.06299999999999994,-0.018000000000000238,-0.19799999999999995,-0.28800000000000026,0.1350000000000001
54,400,0.15300000000000002,-0.0045000000000001705,0.3105000000000002,0.33299999999999996,-0.2519999999999998,0.21060000000000004
54,600,0.1379999999999999,0.07800000000000007,-0.43199999999999994,-0.04200000000000004,0.19799999999999995,0.17759999999999998
54,800,0.03599999999999959,0.14849999999999985,-0.17775000000000007,-0.009000000000000119,0.12599999999999967,0.09944999999999986
54,1000,-0.21600000000000041,0.12599999999999967,0.053999999999999604,0.03599999999999959,-0.19800000000000018,0.1259999999999999
55,10,-1.2600000000000002,1.4399999999999995,-0.3600000000000001,-1.2600000000000002,2.3400000000000003,1.332
55,200,0.29700000000000015,-0.2430000000000001,-0.15300000000000002,-0.19799999999999995,0.11700000000000021,0.20160000000000008
55,400,0.018000000000000016,-0.20699999999999985,-0.20699999999999985,-0.16199999999999992,-0.09450000000000003,0.13769999999999993
55,600,0.017999999999999794,0.07800000000000007,0.06299999999999972,0.04800000000000004,-0.3570000000000002,0.11279999999999997
55,800,-0.13275000000000015,0.11474999999999991,-0.02024999999999988,-0.0990000000000002,0.13724999999999987,0.1008
55,1000,-0.15300000000000025,-0.24300000000000033,-0.07200000000000051,0.11699999999999999,-0.13500000000000023,0.14400000000000027
56,10,-1.2600000000000002,-0.3600000000000001,1.4399999999999995,-0.3600000000000001,-0.3600000000000001,0.756
56,200,-0.28800000000000026,-0.15300000000000002,0.07199999999999984,-0.06299999999999994,-0.33299999999999974,0.18179999999999996
56,400,-0.027000000000000135,-0.07199999999999962,0.26550000000000007,0.1755,-0.04949999999999988,0.11789999999999994
56,600,0.032999999999999696,-0.17700000000000005,-0.2370000000000001,0.16800000000000015,0.07800000000000007,0.1386
56,800,-0.042750000000000066,-0.06525000000000003,0.14849999999999985,0.0022500000000000853,0.14849999999999985,0.08144999999999998
56,1000,0.08099999999999996,0.053999999999999604,0.11699999999999999,-0.11700000000000021,0.04499999999999993,0.08279999999999994
57,10,-1.2600000000000002,3.2399999999999998,-1.2600000000000002,-0.3600000000000001,0.54,1.332
57,200,-0.46799999999999997,-0.19799999999999995,0.027000000000000135,-0.3779999999999999,-0.2430000000000001,0.26280000000000003
57,400,0.1080000000000001,-0.0045000000000001705,0.22050000000000036,0.0405000000000002,0.06300000000000017,0.0873000000000002
57,600,-0.057000000000000384,-0.057000000000000384,0.12299999999999978,0.017999999999999794,0.017999999999999794,0.054600000000000024
57,800,0.22724999999999973,-0.06525000000000003,0.024749999999999828,-0.1665000000000001,0.12599999999999967,0.12194999999999986
57,1000,0.10799999999999965,-0.17100000000000026,-0.17100000000000026,0.08999999999999964,-0.04500000000000015,0.11699999999999999
58,10,1.4399999999999995,-0.3600000000000001,0.54,1.4399999999999995,-0.3600000000000001,0.828
