i,s,Sampling Method,Estimated Area,CI Upper Area,CI Lower Area
90,529,Orthogonal Sampling,1.5448,1.55985,1.52975
95,49,Orthogonal Sampling,1.56735,1.62354,1.51115
95,121,Orthogonal Sampling,1.54463,1.5823,1.50695
95,169,Orthogonal Sampling,1.56213,1.59844,1.52582
95,289,Orthogonal Sampling,1.55606,1.57619,1.53592
95,361,Orthogonal Sampling,1.5615,1.57798,1.54501
95,529,Orthogonal Sampling,1.54026,1.55633,1.5242
100,49,Orthogonal Sampling,1.56735,1.62354,1.51115
100,121,Orthogonal Sampling,1.54463,1.5823,1.50695
100,169,Orthogonal Sampling,1.5568,1.5921,1.52151
100,289,Orthogonal Sampling,1.5519,1.57099,1.53281
100,361,Orthogonal Sampling,1.5615,1.57798,1.54501
100,529,Orthogonal Sampling,1.5397,1.55585,1.52354
